company,phone,Technology,Announced,Dimensions,Weight,Size,Resolution,OS,Chipset,CPU,GPU,Card_slot,Internal,Primary,Secondary,3point5mm_jack,WLAN,Bluetooth,GPS,USB,Price_group,Stand_by,Talk_time
ACER,Acer Iconia Talk S,GSM / HSPA / LTE,"2016, August",191.7 x 101 x 9.4 mm (7.55 x 3.98 x 0.37 in),260 g (9.17 oz),7.0 inches (~73.4% screen-to-body ratio),800 x 1280 pixels (~216 ppi pixel density),"Android OS, v6.0 (Marshmallow)",Mediatek MT8735,Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,"microSD, up to 32 GB (dedicated slot)","32 GB, 2 GB RAM","13 MP, autofocus",2 MP,Yes,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","v4.0, A2DP","Yes, with A-GPS",microUSB v2.0,10-Apr,,
ACER,Acer Liquid Z6 Plus,GSM / HSPA / LTE,"2016, August",-,-,5.5 inches,1080 x 1920 pixels (~401 ppi pixel density),"Android OS, v6.0 (Marshmallow)",Mediatek MT6753,Quad-core 1.3 GHz Cortex-A53,Mali-T720MP3,microSD,"32 GB, 3 GB RAM","13 MP, autofocus, LED flash",5 MP,Yes,Yes,Yes,"Yes, with A-GPS",microUSB v2.0,10-May,,
ACER,Acer Liquid Z6,GSM / HSPA / LTE,"2016, August",-,-,5.0 inches,720 x 1280 pixels (~294 ppi pixel density),"Android OS, v6.0 (Marshmallow)",Mediatek MT6737,Quad-core 1.25 GHz Cortex-A53,Mali-T720MP2,microSD,"8 GB, 1 GB RAM","8 MP, autofocus, LED flash",2 MP,Yes,Yes,Yes,"Yes, with A-GPS",microUSB v2.0,10-Mar,,
ACER,Acer Iconia Tab 10 A3-A40,No cellular connectivity,"2016, April",259 x 167 x 8.9 mm (10.20 x 6.57 x 0.35 in),-,10.1 inches (~68.4% screen-to-body ratio),1920 x 1200 pixels (~224 ppi pixel density),"Android OS, v6.0 (Marshmallow)",Mediatek MT8163A,Quad-core 1.3 GHz Cortex-A53,Mali-T720 MP2,"microSD, up to 256 GB (dedicated slot)","16/32/64 GB, 2 GB RAM",5 MP,2 MP,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot",Yes,,microUSB v2.0,10-May,,
ACER,Acer Liquid X2,GSM / HSPA / LTE,"2015, April",153.3 x 78.8 x 8.5 mm (6.04 x 3.10 x 0.33 in),166 g (5.86 oz),5.5 inches (~69.0% screen-to-body ratio),720 x 1280 pixels (~267 ppi pixel density),"Android OS, v5.1 (Lollipop)",Mediatek MT6753,Octa-core 1.3 GHz Cortex-A53,Mali-T720MP4,"microSD, up to 32 GB (dedicated slot)","32 GB, 3 GB RAM","13 MP, f/1.8, autofocus, LED flash, check quality","13 MP, f/1.8, autofocus, LED flash",Yes,"Wi-Fi 802.11 b/g/n, hotspot","v4.0, A2DP, LE","Yes, with A-GPS",microUSB v2.0,10-May,Up to 820 h (3G),Up to 23 h (3G)
ACER,Acer Liquid Jade 2,GSM / HSPA / LTE,"2016, February",-,-,5.5 inches,1080 x 1920 pixels (~401 ppi pixel density),"Android OS, v6.0 (Marshmallow)",Qualcomm MSM8992 Snapdragon 808,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),,"microSD, up to 256 GB","32 GB, 3 GB RAM","21 MP, autofocus, dual-LED flash",8 MP,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","v4.0, A2DP, LE","Yes, with A-GPS",microUSB v2.0,,,
ACER,Acer Liquid Zest Plus,GSM / HSPA / LTE,"2016, April",-,-,5.5 inches,720 x 1280 pixels (~267 ppi pixel density),"Android OS, v6.0 (Marshmallow)",Mediatek MT6735,Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,microSD (dedicated slot),"16 GB, 2 GB RAM","13 MP, phase detection/laser autofocus, LED flash",5 MP,Yes,Yes,Yes,"Yes, with A-GPS",microUSB v2.0,10-Apr,,
ACER,Acer Liquid Zest,GSM / HSPA / LTE,"2016, February",-,-,5.0 inches,720 x 1280 pixels (~294 ppi pixel density),"Android OS, v6.0 (Marshmallow)",Mediatek MT6580 - Z525Mediatek MT6735 - Z525,Quad-core 1.3 GHz - Z525Quad-core 1.0 GHz - Z528,Mali-400MP2 - Z525Mali-T720MP2 - Z528,microSD (dedicated slot),,"8 MP, f/2.0, autofocus, LED flash",5 MP,Yes,Yes,"v4.0, A2DP","Yes, with A-GPS",microUSB v2.0,,,
ACER,Acer Predator 8,No cellular connectivity,"2015, September",217.9 x 127 x 8.6 mm (8.58 x 5.0 x 0.34 in),353.8 g (12.49 oz),8.0 inches (~67.1% screen-to-body ratio),1920 x 1200 pixels (~283 ppi pixel density),"Android OS, v5.0 (Lollipop)",Intel Atom x7-Z8700,Quad-core 1.6 GHz,,"microSD, up to 256 GB (dedicated slot)","32/64 GB, 2 GB RAM",5 MP,2 MP,Yes,Wi-Fi 802.11 a/b/g/n,"v4.0, A2DP, LE",,microUSB v2.0,10-Jul,,Up to 8 h 30 min
ACER,Acer Liquid Jade Primo,GSM / HSPA / LTE,"2015, September",156.5 x 75.9 x 8.4 mm (6.16 x 2.99 x 0.33 in),150 g (5.29 oz),5.5 inches (~70.2% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),Microsoft Windows 10,Qualcomm MSM8992 Snapdragon 808,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),Adreno 418,"microSD, up to 256 GB (uses SIM 2 slot)","32 GB, 3 GB RAM","21 MP, f/2.2, autofocus, dual-LED flash, check quality","8 MP, f/2.2, 1080p@30fps",Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","v4.0, A2DP, LE","Yes, with A-GPS",Type-C 1.0 reversible connector,10-Sep,,
ACER,Acer Liquid Z330,GSM / HSPA / LTE,"2015, September",136 x 66.5 x 9.6 mm (5.35 x 2.62 x 0.38 in),142 g (5.01 oz),4.5 inches (~61.7% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),"Android OS, v5.1 (Lollipop)",Qualcomm MSM8909 Snapdragon 210,Quad-core 1.1 GHz Cortex-A7,Adreno 304,microSD (dedicated slot),"8 GB, 1 GB RAM","5 MP, autofocus, LED flash",5 MP,Yes,Yes,"v4.0, A2DP","Yes, with A-GPS",microUSB v2.0,10-Mar,Up to 430 h,Up to 11 h
ACER,Acer Liquid Z320,GSM / HSPA,"2015, September",136 x 66.5 x 9.6 mm (5.35 x 2.62 x 0.38 in),142 g (5.01 oz),4.5 inches (~61.7% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),"Android OS, v5.1 (Lollipop)",Qualcomm MSM8909 Snapdragon 210,Quad-core 1.0 GHz Cortex-A7,Adreno 304,microSD (dedicated slot),"8 GB, 1 GB RAM","5 MP, autofocus, LED flash",2 MP,Yes,Yes,"v4.0, A2DP","Yes, with A-GPS",microUSB v2.0,,,
ACER,Acer Liquid Z630S,GSM / HSPA / LTE,"2015, September",156.3 x 77.5 x 8.9 mm (6.15 x 3.05 x 0.35 in),165 g (5.82 oz),5.5 inches (~68.8% screen-to-body ratio),720 x 1280 pixels (~267 ppi pixel density),"Android OS, v5.1 (Lollipop)",Mediatek MT6753,Octa-core 1.3 GHz Cortex-A53,Mali-T720MP3,microSD (dedicated slot),"32 GB, 3 GB RAM","8 MP, autofocus, LED flash",8 MP,Yes,"Wi-Fi 802.11 b/g/n, hotspot","v4.0, A2DP","Yes, with A-GPS","microUSB v2.0, USB On-The-Go",,,
ACER,Acer Liquid Z630,GSM / HSPA / LTE,"2015, September",156.3 x 77.5 x 8.9 mm (6.15 x 3.05 x 0.35 in),165 g (5.82 oz),5.5 inches (~68.8% screen-to-body ratio),720 x 1280 pixels (~267 ppi pixel density),"Android OS, v5.1 (Lollipop)",Mediatek MT6735,Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,microSD (dedicated slot),"8 GB, 1 GB RAM16 GB, 2 GB RAM","8 MP, autofocus, LED flash",8 MP,Yes,Yes,"v4.0, A2DP","Yes, with A-GPS","microUSB v2.0, USB On-The-Go",10-Apr,Up to 1030 h,Up to 22 h
ACER,Acer Liquid Z530S,GSM / HSPA / LTE,"2015, September",144 x 70.3 x 8.9 mm (5.67 x 2.77 x 0.35 in),145 g (5.11 oz),5.0 inches (~68.1% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),"Android OS, v5.1 (Lollipop)",Mediatek MT6753,Octa-core 1.3 GHz Cortex-A53,Mali-T720MP3,microSD (dedicated slot),"32 GB, 3 GB RAM","8 MP, autofocus, LED flash",8 MP,Yes,Yes,"v4.0, A2DP","Yes, with A-GPS",microUSB v2.0,,,
ACER,Acer Liquid Z530,GSM / HSPA / LTE,"2015, September",144 x 70.3 x 8.9 mm (5.67 x 2.77 x 0.35 in),145 g (5.11 oz),5.0 inches (~68.1% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),"Android OS, v5.1 (Lollipop)",Mediatek MT6735,Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,microSD (dedicated slot),"8 GB, 1 GB RAM16 GB, 2 GB RAM","8 MP, autofocus, LED flash",8 MP,Yes,Yes,"v4.0, A2DP","Yes, with A-GPS",microUSB v2.0,10-Mar,,
ACER,Acer Liquid M330,GSM / HSPA / LTE,"2015, September",136 x 66.5 x 9.6 mm (5.35 x 2.62 x 0.38 in),142 g (5.01 oz),4.5 inches (~61.7% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),Microsoft Windows 10,Qualcomm MSM8909 Snapdragon 210,Quad-core 1.0 GHz Cortex-A7,Adreno 304,microSD (dedicated slot),"8 GB, 1 GB RAM","5 MP, autofocus, LED flash",5 MP,Yes,Yes,"v4.0, A2DP","Yes, with A-GPS",microUSB v2.0,,,
ACER,Acer Liquid M320,GSM / HSPA,"2015, September",136 x 66.5 x 9.6 mm (5.35 x 2.62 x 0.38 in),142 g (5.01 oz),4.5 inches (~61.7% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),Microsoft Windows 10,Qualcomm MSM8909 Snapdragon 210,Quad-core 1.1 GHz Cortex-A7,Adreno 304,microSD (dedicated slot),"8 GB, 1 GB RAM","5 MP, autofocus, LED flash",2 MP,Yes,Yes,"v4.0, A2DP","Yes, with A-GPS",microUSB v2.0,,,
ACER,Acer Iconia Tab 10 A3-A30,No cellular connectivity,"2015, April",260 x 176 x 9.7 mm (10.24 x 6.93 x 0.38 in),540 g (1.19 lb),10.1 inches (~64.6% screen-to-body ratio),1920 x 1200 pixels (~224 ppi pixel density),"Android OS, v5.0 (Lollipop)",Intel Atom Z3735F,Quad-core 1.33 GHz,,"microSD, up to 256 GB (dedicated slot)","16/32/64 GB, 2 GB RAM",5 MP,2 MP,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot",v4.0,A-GPS only,microUSB v2.0,10-May,,Up to 7 h 30 min (multimedia)
