company,phone,Technology,Announced,Dimensions,Weight,Size,Resolution,OS,Chipset,CPU,GPU,Card_slot,Internal,Primary,Secondary,3point5mm_jack,WLAN,Bluetooth,GPS,USB,Price_group,Stand_by,Talk_time
ACER,Acer Liquid X2,GSM / HSPA / LTE,"2015, April",153.3 x 78.8 x 8.5 mm (6.04 x 3.10 x 0.33 in),166 g (5.86 oz),5.5 inches (~69.0% screen-to-body ratio),720 x 1280 pixels (~267 ppi pixel density),"Android OS, v5.1 (Lollipop)",Mediatek MT6753,Octa-core 1.3 GHz Cortex-A53,Mali-T720MP4,"microSD, up to 32 GB (dedicated slot)","32 GB, 3 GB RAM","13 MP, f/1.8, autofocus, LED flash, check quality","13 MP, f/1.8, autofocus, LED flash",Yes,"Wi-Fi 802.11 b/g/n, hotspot","v4.0, A2DP, LE","Yes, with A-GPS",microUSB v2.0,10-May,Up to 820 h (3G),Up to 23 h (3G)
ACER,Acer Liquid Z330,GSM / HSPA / LTE,"2015, September",136 x 66.5 x 9.6 mm (5.35 x 2.62 x 0.38 in),142 g (5.01 oz),4.5 inches (~61.7% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),"Android OS, v5.1 (Lollipop)",Qualcomm MSM8909 Snapdragon 210,Quad-core 1.1 GHz Cortex-A7,Adreno 304,microSD (dedicated slot),"8 GB, 1 GB RAM","5 MP, autofocus, LED flash",5 MP,Yes,Yes,"v4.0, A2DP","Yes, with A-GPS",microUSB v2.0,10-Mar,Up to 430 h,Up to 11 h
ACER,Acer Liquid Z630,GSM / HSPA / LTE,"2015, September",156.3 x 77.5 x 8.9 mm (6.15 x 3.05 x 0.35 in),165 g (5.82 oz),5.5 inches (~68.8% screen-to-body ratio),720 x 1280 pixels (~267 ppi pixel density),"Android OS, v5.1 (Lollipop)",Mediatek MT6735,Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,microSD (dedicated slot),"8 GB, 1 GB RAM16 GB, 2 GB RAM","8 MP, autofocus, LED flash",8 MP,Yes,Yes,"v4.0, A2DP","Yes, with A-GPS","microUSB v2.0, USB On-The-Go",10-Apr,Up to 1030 h,Up to 22 h
ACER,Acer Liquid Jade Z,GSM / HSPA / LTE,"2015, March",143.5 x 69.8 x 8 mm (5.65 x 2.75 x 0.31 in),110 g (3.88 oz),5.0 inches (~68.8% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),"Android OS, v5.0 (Lollipop)",Mediatek MT6732,Quad-core 1.5 GHz Cortex-A53,Mali-T760MP2,"microSD, up to 32 GB (uses SIM 2 slot)","8 GB, 1 GB RAM - Liquid Jade Z16 GB, 2 GB RAM - Liquid Jade Z Plus","13 MP, f/1.8, autofocus, LED flash",5 MP,Yes,"Wi-Fi 802.11 b/g/n, hotspot","v4.0, A2DP, EDR","Yes, with A-GPS",microUSB v2.0,10-Apr,Up to 410 h (2G) / Up to 400 h (3G),Up to 7 h (2G) / Up to 4 h (3G)
ACER,Acer Liquid M220,GSM / HSPA,"2015, March",124.9 x 64 x 9.6 mm (4.92 x 2.52 x 0.38 in),119 g (4.20 oz),4.0 inches (~57.0% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),Microsoft Windows Phone 8.1,Qualcomm MSM8210 Snapdragon 200,Dual-core 1.2 GHz Cortex-A7,Adreno 302,"microSD, up to 32 GB (dedicated slot)","4 GB, 512 MB RAM - Liquid M2208 GB, 1 GB RAM - Liquid M220 Plus","5 MP, autofocus, LED flash",2 MP,Yes,"Wi-Fi 802.11 b/g/n, hotspot","v4.0, A2DP","Yes, with A-GPS",microUSB v2.0,10-Feb,Up to 200 h,Up to 4 h
ACER,Acer Liquid Jade S,GSM / HSPA / LTE,"2014, December",143 x 69 x 7.8 mm (5.63 x 2.72 x 0.31 in),116 g (4.09 oz),5.0 inches (~69.8% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),"Android OS, v4.4.4 (KitKat), upgradable to v5.1 (Lollipop)",Mediatek MT6752M,Octa-core 1.5 GHz Cortex-A53,Mali-T760MP2,"microSD, up to 32 GB (uses SIM 2 slot)","16 GB, 2 GB RAM","13 MP, f/1.8, autofocus, LED flash, check quality","5 MP, f/2.2",Yes,"Wi-Fi 802.11 b/g/n, hotspot","v4.0, A2DP, EDR","Yes, with A-GPS",microUSB v2.0,10-Apr,Up to 250 h (3G),Up to 6 h (3G)
ACER,Acer Liquid X1,GSM / HSPA / LTE,"2014, June",153.3 x 80.4 x 8.5 mm (6.04 x 3.17 x 0.33 in),164 g (5.78 oz),5.7 inches (~72.7% screen-to-body ratio),720 x 1280 pixels (~258 ppi pixel density),"Android OS, v4.4.2 (KitKat)",Mediatek MT6592,Octa-core 1.7 GHz Cortex-A7,Mali-450MP4,"microSD, up to 32 GB (dedicated slot)","16 GB, 2 GB RAM","13 MP, autofocus, LED flash",2 MP,Yes,"Wi-Fi 802.11 b/g/n, hotspot","v4.0, A2DP","Yes, with A-GPS",microUSB v2.0,10-Jun,Up to 250 h (3G),Up to 6 h (3G)
ACER,Acer Liquid Jade,GSM / HSPA,"2014, June",140.5 x 69 x 7.5 mm (5.53 x 2.72 x 0.30 in),110 g (3.88 oz),5.0 inches (~71.1% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),"Android OS, v4.4.2 (KitKat)",Mediatek MT6582,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,"microSD, up to 32 GB (uses SIM 2 slot)","8 GB, 1 GB RAM - Liquid Jade16 GB, 2 GB RAM - Liquid Jade Plus","13 MP, autofocus, LED flash",2 MP,Yes,"Wi-Fi 802.11 b/g/n, hotspot","v4.0, A2DP","Yes, with A-GPS",microUSB v2.0,10-Apr,Up to 330 h (3G),Up to 5 h (3G)
ACER,Acer Liquid E700,GSM / HSPA,"2014, June",147.3 x 73 x 9.9 mm (5.80 x 2.87 x 0.39 in),155 g (5.47 oz),5.0 inches (~64.1% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),"Android OS, v4.4.2 (KitKat)",Mediatek MT6582,Quad-core 1.2 GHz Cortex-A7,Mali-400MP2,"microSD, up to 32 GB (dedicated slot)","16 GB, 2 GB RAM or 4 GB, 1 GB RAM","8 MP, autofocus, LED flash","2 MP, LED flash",Yes,"Wi-Fi 802.11 b/g/n, hotspot",v4.0,"Yes, with A-GPS",microUSB v2.0,10-Apr,Up to 1440 h,Up to 24 h
ACER,Acer Liquid E3 Duo Plus,GSM / HSPA,"2014, Q3",138 x 69 x 8.9 mm (5.43 x 2.72 x 0.35 in),-,4.7 inches (~64.0% screen-to-body ratio),720 x 1280 pixels (~312 ppi pixel density),"Android OS, v4.2.2 (Jelly Bean)",Mediatek MT6589,Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,"microSD, up to 32 GB (dedicated slot)","16 GB, 2 GB RAM","13 MP, autofocus, LED flash","2 MP, LED flash",Yes,Yes,"v4.0, A2DP","Yes, with A-GPS, GLONASS",microUSB v2.0,10-May,Up to 260 h,Up to 5 h
